iter	Passed	Remaining
663	1138	576
664	1140	574
665	1142	573
666	1144	571
667	1146	569
668	1147	567
669	1149	566
670	1151	564
671	1153	562
672	1155	561
673	1156	559
674	1158	557
675	1160	556
676	1162	554
677	1164	552
678	1165	551
679	1167	549
680	1169	547
681	1171	546
682	1173	544
683	1175	543
684	1178	541
685	1180	540
686	1182	538
687	1184	537
688	1186	535
689	1188	534
690	1190	532
691	1192	530
692	1194	529
693	1196	527
694	1198	525
695	1200	524
696	1202	522
697	1204	520
698	1205	519
699	1207	517
700	1209	515
701	1211	514
702	1213	512
703	1215	510
704	1216	509
705	1218	507
706	1220	505
707	1222	504
708	1223	502
709	1225	500
710	1227	499
711	1229	497
712	1231	495
713	1233	493
714	1234	492
715	1236	490
716	1238	488
717	1239	486
718	1241	485
719	1243	483
720	1245	481
721	1247	480
722	1248	478
723	1250	476
724	1252	475
725	1254	473
726	1255	471
727	1257	469
728	1259	468
729	1261	466
730	1263	464
731	1264	463
732	1266	461
733	1268	459
734	1270	457
735	1271	456
736	1273	454
737	1275	452
738	1277	451
739	1279	449
740	1280	447
741	1282	445
742	1284	444
743	1286	442
744	1287	440
745	1289	439
746	1291	437
747	1293	435
748	1294	433
749	1296	432
750	1298	430
751	1300	428
752	1302	427
753	1303	425
754	1305	423
755	1307	422
756	1309	420
757	1311	418
758	1313	416
759	1314	415
760	1316	413
761	1318	411
762	1320	410
763	1322	408
764	1324	406
765	1326	405
766	1328	403
767	1329	401
768	1331	400
769	1333	398
770	1335	396
771	1337	395
772	1339	393
773	1341	391
774	1343	390
775	1345	388
776	1346	386
777	1348	384
778	1350	383
779	1352	381
780	1353	379
781	1355	377
782	1357	376
783	1359	374
784	1360	372
785	1362	371
786	1364	369
787	1366	367
788	1368	365
789	1370	364
790	1371	362
791	1373	360
792	1375	358
793	1377	357
794	1378	355
795	1380	353
796	1382	352
797	1384	350
798	1385	348
799	1387	346
800	1389	345
801	1390	343
802	1392	341
803	1394	339
804	1395	338
805	1397	336
806	1398	334
807	1400	332
808	1402	331
809	1403	329
810	1404	327
811	1406	325
812	1408	323
813	1410	322
814	1411	320
815	1413	318
816	1415	317
817	1417	315
818	1419	313
819	1420	311
820	1422	310
821	1424	308
822	1426	306
823	1428	305
824	1430	303
825	1432	301
826	1433	299
827	1435	298
828	1437	296
829	1439	294
830	1440	293
831	1442	291
832	1445	289
833	1447	288
834	1449	286
835	1450	284
836	1452	282
837	1454	281
838	1456	279
839	1458	277
840	1460	276
841	1462	274
842	1464	272
843	1466	271
844	1468	269
845	1470	267
846	1472	265
847	1473	264
848	1475	262
849	1477	260
850	1479	259
851	1481	257
852	1483	255
853	1485	253
854	1487	252
855	1489	250
856	1491	248
857	1492	247
858	1494	245
859	1496	243
860	1498	241
861	1499	240
862	1501	238
863	1504	236
864	1505	235
865	1507	233
866	1509	231
867	1511	229
868	1513	228
869	1514	226
870	1516	224
871	1518	222
872	1520	221
873	1522	219
874	1524	217
875	1526	216
876	1528	214
877	1529	212
878	1531	210
879	1533	209
880	1535	207
881	1537	205
882	1538	203
883	1540	202
884	1542	200
885	1544	198
886	1545	196
887	1547	195
888	1549	193
889	1551	191
890	1552	189
891	1554	188
892	1556	186
893	1558	184
894	1560	183
895	1561	181
896	1563	179
897	1565	177
898	1567	176
899	1569	174
900	1571	172
901	1572	170
902	1574	169
903	1576	167
904	1578	165
905	1579	163
906	1581	162
907	1583	160
908	1585	158
909	1587	156
910	1589	155
911	1590	153
912	1592	151
913	1594	150
914	1596	148
915	1598	146
916	1600	144
917	1602	143
918	1604	141
919	1606	139
920	1608	137
921	1610	136
922	1612	134
923	1614	132
924	1615	131
925	1617	129
926	1619	127
927	1621	125
928	1623	124
929	1625	122
930	1627	120
931	1629	118
932	1630	117
933	1632	115
934	1634	113
935	1636	111
936	1638	110
937	1640	108
938	1642	106
939	1644	104
940	1645	103
941	1647	101
942	1649	99
943	1651	97
944	1652	96
945	1654	94
946	1656	92
947	1658	90
948	1660	89
949	1662	87
950	1663	85
951	1665	83
952	1667	82
953	1669	80
954	1671	78
955	1673	77
956	1675	75
957	1677	73
958	1678	71
959	1680	70
960	1682	68
961	1683	66
962	1685	64
963	1687	63
964	1689	61
965	1691	59
966	1693	57
967	1694	56
968	1696	54
969	1698	52
970	1700	50
971	1701	49
972	1704	47
973	1706	45
974	1707	43
975	1709	42
976	1711	40
977	1713	38
978	1715	36
979	1717	35
980	1719	33
981	1721	31
982	1723	29
983	1725	28
984	1727	26
985	1729	24
986	1731	22
987	1733	21
988	1735	19
989	1737	17
990	1739	15
991	1741	14
992	1743	12
993	1745	10
994	1747	8
995	1749	7
996	1751	5
997	1753	3
998	1755	1
999	1757	0
